Overall rank,Country or region,Capital City,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,Finland,Helsinki,7.769,1.34,1.587,0.986,0.596,0.153,0.393
3,Norway,Oslo,7.554,1.488,1.582,1.028,0.603,0.271,0.341
9,Canada,Ottawa,7.278,1.365,1.505,1.039,0.584,0.285,0.308
19,United States,Washington D.C,6.892,1.433,1.457,0.874,0.454,0.28,0.128
36,Italy,Rome,6.223,1.294,1.488,1.039,0.231,0.158,0.03
58,Japan,Tokyo,5.886,1.327,1.419,1.088,0.445,0.069,0.14
76,Hong Kong,City of Victoria,5.43,1.438,1.277,1.122,0.44,0.258,0.287
93,China,Beijing,5.191,1.029,1.125,0.893,0.521,0.058,0.1
125,Bangladesh,Dhaka,4.456,0.562,0.928,0.723,0.527,0.166,0.143
140,India,New Delhi,4.015,0.755,0.765,0.588,0.498,0.2,0.085
148,Botswana,Gaborone,3.488,1.041,1.145,0.538,0.455,0.025,0.1
154,Afghanistan,Kabul,3.203,0.35,0.517,0.361,0,0.158,0.025
